,Date,Open,High,Low,Close,Volume,Market Cap
0,2021-05-09,1.582e-05,1.95e-05,1.232e-05,1.562e-05,6171534718.55,6168398355.36
1,2021-05-08,2.8e-06,1.897e-05,2.8e-06,1.578e-05,6118033567.13,6228540594.96
2,2021-05-07,1.53e-06,3.12e-06,1.4e-06,2.79e-06,367358433.92,0.0
3,2021-05-06,1.71e-06,1.73e-06,1.48e-06,1.53e-06,27406651.77,0.0
4,2021-05-05,1.67e-06,1.84e-06,1.65e-06,1.71e-06,47093778.65,0.0
5,2021-05-04,1.59e-06,1.94e-06,1.5e-06,1.67e-06,64001867.17,0.0
6,2021-05-03,1.65e-06,1.82e-06,1.55e-06,1.59e-06,40570107.25,0.0
7,2021-05-02,1.9e-06,1.91e-06,1.6e-06,1.63e-06,59652129.79,0.0
8,2021-05-01,2.03e-06,2.05e-06,1.76e-06,1.9e-06,92395224.03,0.0
9,2021-04-30,1.4e-06,2.18e-06,1.38e-06,2.03e-06,133732362.05,0.0
10,2021-04-29,1.48e-06,1.52e-06,1.3e-06,1.4e-06,96378674.88,0.0
11,2021-04-28,9.8e-07,1.55e-06,8.7e-07,1.48e-06,139690064.86,0.0
12,2021-04-27,1.18e-06,1.24e-06,7.7e-07,9.8e-07,102515601.66,0.0
13,2021-04-26,1.31e-06,1.39e-06,1.17e-06,1.18e-06,102581470.93,0.0
14,2021-04-25,1.36e-06,1.43e-06,1.12e-06,1.31e-06,90558037.79,0.0
15,2021-04-24,1.22e-06,1.59e-06,1.18e-06,1.36e-06,83694372.81,0.0
16,2021-04-23,1.6e-06,1.74e-06,1.12e-06,1.22e-06,151001681.68,0.0
17,2021-04-22,1.29e-06,1.93e-06,1.2e-06,1.6e-06,194322190.16,0.0
18,2021-04-21,2.49e-06,2.74e-06,9.6e-07,1.29e-06,290865030.95,0.0
19,2021-04-20,3.71e-06,4.17e-06,1.72e-06,2.49e-06,526088539.5,0.0
20,2021-04-19,1.88e-06,3.71e-06,1.81e-06,3.7e-06,424418997.57,0.0
21,2021-04-18,1.98e-06,2.09e-06,1.22e-06,1.88e-06,142743622.95,0.0
22,2021-04-17,6.8e-07,3.01e-06,6.7e-07,1.98e-06,460833711.52,0.0
23,2021-04-16,2.6e-07,9.9e-07,2.6e-07,6.8e-07,161689870.49,0.0
24,2021-04-15,1.7e-07,2.9e-07,1.6e-07,2.6e-07,14718199.85,0.0
25,2021-04-14,1.6e-07,1.8e-07,1.3e-07,1.7e-07,6349137.42,0.0
26,2021-04-13,1.9e-07,2.1e-07,1.4e-07,1.6e-07,13314012.91,0.0
27,2021-04-12,1.1e-07,2.1e-07,1e-07,1.7e-07,17561875.33,0.0
28,2021-04-11,8e-08,1.2e-07,8e-08,1.1e-07,6995582.85,0.0
29,2021-04-10,7e-08,8e-08,6e-08,8e-08,1272821.38,0.0
30,2021-04-09,6e-08,7e-08,6e-08,7e-08,610176.4,0.0
31,2021-04-08,6e-08,6e-08,6e-08,6e-08,338731.05,0.0
